days,l,m,s,sd3neg,sd2neg,sd1neg,sd0,sd1,sd2,sd3
168.0,-0.014852412456740774,0.6379504445691105,0.19265877291336211,0.36,0.43,0.53,0.64,0.77,0.94,1.14
169.0,0.044154234800062,0.6520047017301842,0.19453481069131093,0.36,0.44,0.54,0.65,0.79,0.96,1.16
170.0,0.008916951881927222,0.6627653315622246,0.19323080571985812,0.37,0.45,0.55,0.66,0.8,0.98,1.18
171.0,-0.017746233323835403,0.6765162207360572,0.19219216893768312,0.38,0.46,0.56,0.68,0.82,0.99,1.21
172.0,-0.0118157073397593,0.6904163974504309,0.19155432448087398,0.39,0.47,0.57,0.69,0.84,1.01,1.23
173.0,0.005386718751054912,0.701352908980399,0.19275276784741865,0.39,0.48,0.58,0.7,0.85,1.03,1.25
174.0,0.0006932627020157483,0.7170578737786338,0.1927071827100787,0.4,0.49,0.59,0.72,0.87,1.05,1.28
175.0,-0.031227366958502225,0.7278439345882423,0.1915170843782973,0.41,0.5,0.6,0.73,0.88,1.07,1.3
176.0,-0.04274931658848755,0.7394667400634073,0.1931673982540803,0.42,0.5,0.61,0.74,0.9,1.09,1.33
177.0,0.035546797340152106,0.7565127078670029,0.19471167708641185,0.42,0.51,0.62,0.76,0.92,1.11,1.35
178.0,0.02895890896348095,0.7733637706699319,0.19475962729716553,0.43,0.52,0.64,0.77,0.94,1.14,1.38
179.0,0.026081189089417735,0.7871702866234739,0.1935466335321944,0.44,0.53,0.65,0.79,0.95,1.16,1.4
180.0,-0.004231009047649754,0.7998586775132466,0.19358900040990723,0.45,0.54,0.66,0.8,0.97,1.18,1.43
181.0,-0.008121445821332398,0.8155619060330436,0.19353214694177379,0.46,0.55,0.67,0.82,0.99,1.2,1.46
182.0,0.00273225889046534,0.8316755493795837,0.19222053839754316,0.47,0.56,0.69,0.83,1.01,1.22,1.48
183.0,0.03991404060684494,0.8505922033503089,0.19354146548179055,0.47,0.58,0.7,0.85,1.03,1.25,1.51
184.0,0.011217288653840472,0.8632604543188914,0.19358949190147212,0.48,0.59,0.71,0.86,1.05,1.27,1.54
185.0,0.00736643280517884,0.8789645207365975,0.19353974818944975,0.49,0.6,0.72,0.88,1.07,1.29,1.57
186.0,0.0024261541335224906,0.8958309026923306,0.1936021890108053,0.5,0.61,0.74,0.89,1.09,1.32,1.6
187.0,-0.0011510329324491255,0.9115344764443117,0.19355257901547102,0.51,0.62,0.75,0.91,1.11,1.34,1.63
188.0,0.016487941577949167,0.9314163223414822,0.1935329036959579,0.52,0.63,0.77,0.93,1.13,1.37,1.66
189.0,0.01290011596297154,0.9471284632758676,0.1934897756858598,0.53,0.64,0.78,0.95,1.15,1.39,1.69
190.0,0.0026687832994423343,0.9617638391970714,0.1942018705923466,0.54,0.65,0.79,0.96,1.17,1.42,1.72
191.0,-0.010143745319611474,0.9807676422373272,0.19229644675264276,0.55,0.67,0.81,0.98,1.19,1.44,1.75
192.0,0.0014250204230948527,0.9984394118744119,0.19293447105637443,0.56,0.68,0.82,1.0,1.21,1.47,1.78
193.0,0.017590915751033706,1.0183225449263944,0.19292626699538193,0.57,0.69,0.84,1.02,1.23,1.5,1.81
194.0,-0.0068559602440753644,1.0329147841479258,0.1938296640426975,0.58,0.7,0.85,1.03,1.26,1.52,1.85
195.0,-0.004863166303330199,1.0538841848887592,0.1926888647843518,0.59,0.72,0.87,1.05,1.28,1.55,1.88
196.0,-0.01986620532998205,1.0703478340505264,0.19372584495061418,0.6,0.73,0.88,1.07,1.3,1.58,1.92
197.0,-0.004637213122868669,1.090221843092672,0.19371561601828163,0.61,0.74,0.9,1.09,1.32,1.61,1.95
198.0,0.02118274980209269,1.1142994168722276,0.1929921512353044,0.62,0.76,0.92,1.11,1.35,1.64,1.98
199.0,0.006182558925260646,1.130750460161635,0.19398315585028114,0.63,0.77,0.93,1.13,1.37,1.67,2.02
200.0,-0.010471310805970377,1.1523981821964464,0.193276059532763,0.65,0.78,0.95,1.15,1.4,1.7,2.06
201.0,-0.008657019387708836,1.1733644917523653,0.1922613407429699,0.66,0.8,0.97,1.17,1.42,1.73,2.09
202.0,-6.342742587077255e-05,1.1929191563878958,0.19354419230703906,0.67,0.81,0.98,1.19,1.45,1.76,2.13
203.0,-0.021010372620797177,1.2126977886211041,0.19295580517694513,0.68,0.83,1.0,1.21,1.47,1.79,2.17
204.0,0.00846998559420173,1.2374933274997857,0.19362577645679574,0.69,0.84,1.02,1.24,1.5,1.82,2.21
205.0,0.020494775295044784,1.2592801363537214,0.19432025294332825,0.7,0.85,1.04,1.26,1.53,1.85,2.25
206.0,-0.027146252132471585,1.2788791330858689,0.19242621582722497,0.72,0.87,1.06,1.28,1.55,1.88,2.29
207.0,-0.018458366969388258,1.3015038712130966,0.19320887526704428,0.73,0.89,1.07,1.3,1.58,1.92,2.33
208.0,0.00892476969921159,1.3262922570526074,0.19382817443639214,0.74,0.9,1.09,1.33,1.61,1.95,2.37
209.0,-0.01624714903693462,1.349017300560153,0.19234678271596295,0.76,0.92,1.11,1.35,1.64,1.98,2.41
210.0,-0.013464718063586262,1.3696557837557926,0.19319269444695644,0.77,0.93,1.13,1.37,1.66,2.02,2.45
211.0,0.0023131930288230614,1.395531254907258,0.19293430394049435,0.78,0.95,1.15,1.4,1.69,2.05,2.49
212.0,-0.030849319141661724,1.419026250665554,0.19233882956803494,0.8,0.97,1.17,1.42,1.72,2.09,2.54
213.0,0.004695859397691809,1.4457649089735956,0.1933863274103009,0.81,0.98,1.19,1.45,1.75,2.13,2.58
214.0,0.0053356852619184875,1.4686407037755642,0.1931818047632247,0.82,1.0,1.21,1.47,1.78,2.16,2.62
215.0,-0.012305598756796434,1.495131998091666,0.19257696212782643,0.84,1.02,1.23,1.5,1.81,2.2,2.67
216.0,0.006745319302864336,1.52076700647943,0.19419201536418562,0.85,1.03,1.25,1.52,1.85,2.24,2.72
217.0,0.011065724960772107,1.5506863385077616,0.19286877424419988,0.87,1.05,1.28,1.55,1.88,2.28,2.76
218.0,0.0031027242457637673,1.574311298887557,0.19341720307405744,0.88,1.07,1.3,1.57,1.91,2.32,2.81
219.0,-0.013212738756287248,1.600812097326573,0.19284878823911888,0.9,1.09,1.32,1.6,1.94,2.36,2.86
220.0,-0.007786477604006475,1.627442826030174,0.19333505716529495,0.91,1.11,1.34,1.63,1.97,2.4,2.91
221.0,-0.0074097481520019,1.6570406610961919,0.19303299746953656,0.93,1.13,1.36,1.66,2.01,2.44,2.96
222.0,-0.0028604783390481603,1.6817967692196172,0.19387187991578206,0.94,1.14,1.39,1.68,2.04,2.48,3.01
223.0,-0.0025972272854419883,1.7113904627991294,0.19356973201878194,0.96,1.16,1.41,1.71,2.08,2.52,3.06
224.0,-0.014606421020414264,1.740107914709281,0.19268183837258135,0.98,1.18,1.44,1.74,2.11,2.56,3.11
225.0,0.013514369998198309,1.77180029089786,0.19373260544053728,0.99,1.2,1.46,1.77,2.15,2.61,3.16
226.0,-0.0011056401407708507,1.7982983230844618,0.19322574364458864,1.01,1.22,1.48,1.8,2.18,2.65,3.21
227.0,-0.013104126858008103,1.828914941421269,0.19287502043331697,1.03,1.24,1.51,1.83,2.22,2.69,3.27
228.0,0.013596818866603487,1.8606058269341041,0.1938719809811199,1.04,1.26,1.53,1.86,2.26,2.74,3.32
229.0,0.001903619250611609,1.8942710989242506,0.1932504497844618,1.06,1.29,1.56,1.89,2.3,2.79,3.38
230.0,-0.008986123108547624,1.9229914587440182,0.19245419337829708,1.08,1.31,1.59,1.92,2.33,2.83,3.43
